Pressure(hPa),O3PartialPressure(mPa),Temperature(C),GPHeight(m)
264.74,1.436,-36.9,10527
264.48,1.433,-37,10535
264.22,1.43,-37.1,10541
263.97,1.43,-37.1,10546
263.73,1.429,-37.2,10549
263.49,1.425,-37.2,10557
263.23,1.419,-37.2,10564
262.98,1.428,-37.2,10570
262.71,1.43,-37.2,10578
262.44,1.43,-37.2,10586
262.16,1.43,-37.3,10591
261.89,1.428,-37.4,10600
261.61,1.426,-37.5,10609
261.34,1.426,-37.6,10616
261.07,1.426,-37.6,10621
260.8,1.425,-37.7,10629
260.54,1.419,-37.7,10635
260.28,1.414,-37.7,10642
260.02,1.412,-37.8,10649
259.76,1.411,-37.8,10657
259.5,1.411,-37.9,10663
259.24,1.411,-38,10669
258.98,1.411,-38.1,10677
258.73,1.408,-38.1,10684
258.49,1.403,-38.2,10692
258.25,1.403,-38.3,10697
258.01,1.401,-38.4,10704
257.78,1.4,-38.5,10709
257.55,1.397,-38.5,10713
257.31,1.395,-38.5,10719
257.06,1.388,-38.5,10727
256.81,1.387,-38.6,10735
256.56,1.384,-38.6,10742
256.3,1.384,-38.7,10749
256.04,1.381,-38.8,10755
255.79,1.38,-38.9,10763
255.53,1.377,-38.9,10771
255.28,1.376,-39,10776
255.03,1.373,-39,10782
254.77,1.372,-39.1,10787
254.51,1.372,-39.2,10795
254.25,1.373,-39.2,10803
253.98,1.373,-39.3,10812
253.72,1.373,-39.4,10819
253.48,1.373,-39.4,10828
253.24,1.376,-39.5,10833
253.01,1.383,-39.5,10837
252.78,1.384,-39.6,10841
252.55,1.383,-39.6,10846
252.31,1.375,-39.6,10855
252.07,1.373,-39.6,10862
251.81,1.373,-39.6,10869
251.56,1.373,-39.6,10876
251.3,1.37,-39.7,10884
251.04,1.37,-39.7,10892
250.79,1.37,-39.8,10898
250.54,1.37,-39.8,10903
250.29,1.372,-39.9,10911
250.04,1.379,-39.9,10917
249.79,1.384,-39.9,10923
249.53,1.388,-40,10930
249.27,1.39,-40.1,10939
249,1.39,-40.1,10946
248.73,1.387,-40.2,10953
248.46,1.384,-40.2,10962
248.19,1.381,-40.3,10969
247.93,1.38,-40.4,10976
247.66,1.38,-40.5,10983
247.39,1.38,-40.5,10990
247.12,1.38,-40.6,10997
246.86,1.378,-40.6,11006
246.58,1.379,-40.7,11010
246.31,1.381,-40.8,11020
246.04,1.386,-40.9,11028
245.77,1.391,-41,11037
245.51,1.391,-41,11043
245.25,1.391,-41.1,11049
244.99,1.391,-41.1,11058
244.73,1.391,-41.1,11064
244.48,1.393,-41.2,11069
244.23,1.395,-41.2,11078
243.98,1.395,-41.3,11085
243.74,1.392,-41.3,11092
243.51,1.386,-41.3,11100
243.28,1.389,-41.3,11107
243.07,1.396,-41.3,11109
242.85,1.4,-41.4,11115
242.63,1.4,-41.4,11121
242.4,1.398,-41.4,11126
242.16,1.395,-41.4,11133
241.91,1.396,-41.5,11141
241.64,1.4,-41.5,11148
241.36,1.4,-41.6,11156
241.08,1.399,-41.7,11167
240.8,1.396,-41.8,11177
240.52,1.391,-41.8,11183
240.25,1.384,-41.9,11190
239.98,1.384,-41.9,11195
239.72,1.382,-42,11204
239.46,1.381,-42,11212
239.21,1.379,-42.1,11220
238.96,1.367,-42.1,11227
238.72,1.367,-42.1,11233
238.49,1.368,-42.2,11238
238.25,1.369,-42.3,11245
238.01,1.369,-42.3,11252
237.77,1.369,-42.4,11259
237.52,1.369,-42.5,11265
237.26,1.37,-42.5,11272
236.99,1.37,-42.5,11280
236.72,1.37,-42.5,11289
236.43,1.367,-42.5,11298
236.15,1.367,-42.5,11306
235.87,1.367,-42.5,11313
235.59,1.363,-42.6,11323
235.32,1.362,-42.6,11332
235.05,1.359,-42.7,11339
234.78,1.359,-42.8,11340
234.51,1.36,-42.8,11353
234.25,1.361,-42.9,11361
233.98,1.361,-42.9,11367
233.71,1.359,-42.9,11376
233.45,1.359,-42.8,11384
233.18,1.358,-42.8,11390
232.93,1.358,-42.8,11399
232.68,1.353,-42.9,11407
232.44,1.347,-42.9,11412
232.2,1.346,-43,11420
231.97,1.339,-43,11428
231.75,1.327,-43,11433
231.53,1.325,-43.1,11438
231.3,1.324,-43.2,11443
231.07,1.324,-43.2,11451
230.84,1.324,-43.3,11458
230.6,1.324,-43.3,11466
230.36,1.324,-43.4,11472
230.11,1.319,-43.4,11478
229.86,1.318,-43.5,11488
229.61,1.318,-43.5,11496
229.36,1.317,-43.6,11501
229.11,1.313,-43.7,11509
228.86,1.309,-43.8,11516
228.61,1.306,-43.8,11526
228.37,1.305,-43.9,11533
228.13,1.305,-43.9,11538
227.89,1.301,-44,11543
227.65,1.299,-44,11552
227.42,1.297,-44.1,11561
227.18,1.296,-44.1,11567
226.94,1.296,-44.1,11573
226.69,1.295,-44.2,11579
226.45,1.29,-44.3,11586
226.19,1.287,-44.3,11594
225.93,1.285,-44.4,11603
225.67,1.283,-44.5,11611
225.41,1.278,-44.6,11619
225.15,1.272,-44.7,11623
224.88,1.269,-44.7,11636
224.62,1.268,-44.8,11643
224.37,1.262,-44.9,11650
224.12,1.253,-45,11655
223.87,1.241,-45,11665
223.63,1.228,-45.1,11673
223.39,1.219,-45.1,11680
223.15,1.208,-45.1,11685
222.91,1.198,-45.2,11690
222.66,1.193,-45.2,11698
222.41,1.187,-45.2,11708
222.16,1.18,-45.3,11717
221.91,1.169,-45.3,11725
221.67,1.151,-45.4,11730
221.44,1.14,-45.4,11739
221.22,1.12,-45.5,11745
221,1.101,-45.5,11751
220.8,1.094,-45.5,11757
220.6,1.089,-45.6,11764
220.4,1.087,-45.6,11768
220.2,1.083,-45.7,11773
219.99,1.078,-45.7,11779
219.78,1.074,-45.8,11786
219.56,1.07,-45.8,11794
219.34,1.067,-45.9,11800
219.13,1.064,-46,11808
218.91,1.058,-46,11815
218.69,1.049,-46.1,11821
218.48,1.043,-46.2,11827
218.28,1.035,-46.2,11834
218.07,1.033,-46.3,11839
217.85,1.033,-46.4,11844
217.64,1.029,-46.4,11849
217.41,1.025,-46.5,11858
217.17,1.016,-46.5,11867
216.93,1.016,-46.6,11874
216.69,1.016,-46.7,11881
216.45,1.016,-46.8,11889
216.2,1.015,-46.9,11897
215.95,1.015,-46.9,11904
215.71,1.015,-47,11913
215.47,1.01,-47.1,11918
215.22,1.004,-47.1,11926
214.99,0.991,-47.1,11935
214.75,0.987,-47.2,11942
214.52,0.987,-47.3,11948
214.28,0.986,-47.4,11954
214.05,0.986,-47.4,11962
213.82,0.985,-47.5,11970
213.58,0.985,-47.6,11977
213.34,0.985,-47.6,11983
213.1,0.983,-47.7,11990
212.85,0.978,-47.8,11999
212.6,0.975,-47.9,12009
212.35,0.97,-48,12016
212.1,0.969,-48.1,12020
211.85,0.967,-48.2,12030
211.6,0.967,-48.2,12039
211.35,0.967,-48.3,12047
211.1,0.966,-48.3,12053
210.85,0.966,-48.4,12062
210.61,0.966,-48.5,12071
210.36,0.966,-48.6,12078
210.12,0.966,-48.7,12084
209.88,0.964,-48.8,12090
209.65,0.964,-48.8,12100
209.41,0.963,-48.9,12108
209.18,0.96,-48.9,12116
208.96,0.957,-49,12122
208.74,0.953,-49.1,12128
208.52,0.952,-49.2,12136
208.3,0.951,-49.2,12140
208.07,0.95,-49.3,12147
207.84,0.949,-49.3,12154
207.6,0.948,-49.4,12162
207.35,0.947,-49.4,12171
207.1,0.946,-49.4,12179
206.85,0.943,-49.5,12188
206.6,0.943,-49.5,12198
206.35,0.943,-49.6,12205
206.11,0.942,-49.7,12209
205.86,0.939,-49.9,12216
205.6,0.937,-50,12225
205.35,0.937,-50.1,12236
205.09,0.936,-50.2,12244
204.84,0.937,-50.3,12253
204.58,0.937,-50.3,12259
204.33,0.938,-50.4,12267
204.08,0.938,-50.5,12277
203.83,0.938,-50.6,12283
203.58,0.938,-50.6,12292
203.32,0.94,-50.7,12298
203.07,0.942,-50.8,12307
202.81,0.942,-50.8,12316
202.56,0.941,-50.9,12327
202.32,0.938,-50.9,12333
202.08,0.938,-51,12341
201.84,0.937,-51.2,12348
201.61,0.934,-51.3,12354
201.38,0.933,-51.3,12361
201.15,0.932,-51.4,12370
200.92,0.931,-51.5,12377
200.69,0.932,-51.5,12385
200.46,0.932,-51.6,12392
200.23,0.932,-51.6,12400
200.01,0.932,-51.7,12406
199.78,0.931,-51.8,12412
199.55,0.929,-51.9,12421
199.33,0.929,-52,12430
199.09,0.929,-52.1,12436
198.86,0.928,-52.1,12441
198.62,0.928,-52.2,12450
198.38,0.926,-52.2,12460
198.13,0.926,-52.3,12469
197.89,0.924,-52.4,12474
197.65,0.918,-52.5,12483
197.41,0.918,-52.5,12492
197.17,0.918,-52.6,12501
196.94,0.917,-52.7,12508
196.71,0.914,-52.8,12515
196.48,0.912,-52.8,12521
196.26,0.905,-52.9,12526
196.04,0.904,-53,12536
195.82,0.904,-53.1,12545
195.61,0.903,-53.1,12553
195.4,0.903,-53.2,12559
195.2,0.903,-53.3,12565
195.01,0.903,-53.3,12571
194.81,0.903,-53.4,12573
194.61,0.904,-53.4,12581
194.4,0.904,-53.4,12588
194.19,0.903,-53.4,12596
193.97,0.899,-53.4,12604
193.75,0.899,-53.5,12612
193.52,0.899,-53.6,12619
193.29,0.896,-53.7,12627
193.06,0.895,-53.8,12635
192.84,0.895,-53.9,12643
192.61,0.895,-54,12649
192.39,0.89,-54.1,12657
192.16,0.884,-54.1,12665
191.94,0.883,-54.2,12673
191.73,0.882,-54.3,12680
191.52,0.882,-54.3,12685
191.31,0.884,-54.4,12695
191.11,0.887,-54.4,12701
190.91,0.886,-54.5,12705
190.71,0.884,-54.5,12712
190.51,0.884,-54.6,12719
190.3,0.884,-54.6,12723
190.08,0.88,-54.6,12732
189.85,0.876,-54.6,12741
189.62,0.876,-54.7,12750
189.39,0.876,-54.8,12758
189.16,0.876,-54.9,12767
188.93,0.876,-54.9,12773
188.71,0.876,-55,12783
188.5,0.874,-55.1,12789
188.29,0.87,-55.2,12792
188.09,0.863,-55.3,12803
187.9,0.861,-55.4,12809
187.7,0.855,-55.4,12815
187.51,0.852,-55.4,12821
187.32,0.851,-55.4,12827
187.13,0.85,-55.5,12833
186.94,0.85,-55.5,12839
186.73,0.849,-55.6,12847
186.52,0.849,-55.6,12854
186.31,0.846,-55.6,12861
186.08,0.844,-55.7,12867
185.86,0.842,-55.7,12878
185.63,0.841,-55.8,12887
185.41,0.84,-55.9,12895
185.18,0.84,-55.9,12899
184.97,0.84,-56,12908
184.75,0.839,-56,12916
184.54,0.839,-56,12924
184.34,0.839,-56,12931
184.14,0.838,-56,12937
183.94,0.836,-56.1,12942
183.74,0.835,-56.1,12950
183.55,0.833,-56.2,12959
183.37,0.832,-56.2,12965
183.19,0.831,-56.2,12973
183.02,0.826,-56.3,12976
182.85,0.816,-56.4,12979
182.68,0.811,-56.5,12986
182.51,0.811,-56.5,12994
182.34,0.811,-56.6,12998
182.16,0.809,-56.6,13002
181.98,0.809,-56.6,13012
181.78,0.809,-56.7,13019
181.59,0.809,-56.7,13023
181.38,0.809,-56.8,13029
181.17,0.805,-56.9,13037
180.95,0.795,-57,13047
180.73,0.794,-57.1,13057
180.51,0.789,-57.1,13065
180.29,0.788,-57.2,13071
180.08,0.787,-57.3,13077
179.89,0.786,-57.3,13087
179.7,0.785,-57.4,13094
179.52,0.785,-57.4,13100
179.35,0.783,-57.5,13103
179.18,0.778,-57.5,13109
179.02,0.778,-57.6,13115
178.85,0.777,-57.6,13120
178.67,0.775,-57.7,13127
178.48,0.774,-57.7,13130
178.29,0.773,-57.8,13140
178.08,0.771,-57.8,13147
177.86,0.765,-57.9,13152
177.63,0.765,-58,13164
177.4,0.761,-58,13175
177.17,0.759,-58.1,13182
176.95,0.752,-58.2,13191
176.73,0.751,-58.3,13198
176.52,0.745,-58.4,13203
176.32,0.74,-58.4,13211
176.12,0.738,-58.5,13218
175.93,0.737,-58.5,13226
175.76,0.737,-58.6,13234
175.59,0.737,-58.6,13238
175.42,0.735,-58.7,13244
175.27,0.732,-58.8,13250
175.12,0.73,-58.8,13253
174.96,0.726,-58.8,13258
174.81,0.726,-58.9,13265
174.66,0.724,-58.9,13271
174.51,0.722,-59,13275
174.36,0.721,-59,13281
174.21,0.719,-59,13287
174.07,0.713,-59.1,13292
173.93,0.706,-59.1,13298
173.79,0.701,-59.2,13301
173.65,0.693,-59.2,13307
173.51,0.689,-59.3,13313
173.37,0.685,-59.4,13316
173.23,0.683,-59.4,13320
173.07,0.682,-59.5,13324
172.9,0.68,-59.5,13331
172.72,0.677,-59.6,13338
172.54,0.673,-59.6,13345
172.34,0.672,-59.7,13354
172.15,0.672,-59.7,13362
171.96,0.664,-59.8,13371
171.77,0.653,-59.9,13375
171.6,0.65,-59.9,13383
171.44,0.648,-60,13389
171.28,0.647,-60,13393
171.12,0.645,-60,13398
170.97,0.643,-60,13404
170.81,0.642,-60.1,13409
170.65,0.64,-60.1,13414
170.48,0.637,-60.2,13419
170.3,0.636,-60.2,13427
170.13,0.635,-60.3,13435
169.95,0.633,-60.3,13442
169.78,0.632,-60.4,13449
169.61,0.63,-60.5,13456
169.45,0.629,-60.5,13459
169.28,0.629,-60.6,13464
169.12,0.628,-60.6,13470
168.95,0.627,-60.6,13476
168.77,0.626,-60.7,13483
168.6,0.626,-60.8,13491
168.43,0.624,-60.8,13500
168.27,0.621,-60.9,13505
168.11,0.62,-60.9,13511
167.96,0.617,-60.9,13516
167.82,0.612,-61,13519
167.68,0.609,-61,13523
167.54,0.607,-61,13529
167.39,0.605,-61.1,13535
167.24,0.605,-61.1,13541
167.08,0.605,-61.1,13543
166.91,0.605,-61.2,13552
166.72,0.604,-61.2,13559
166.54,0.602,-61.2,13566
166.34,0.599,-61.3,13574
166.15,0.596,-61.3,13582
165.95,0.593,-61.4,13590
165.76,0.585,-61.5,13597
165.57,0.577,-61.6,13604
165.39,0.576,-61.7,13611
165.22,0.576,-61.7,13617
165.05,0.575,-61.8,13624
164.88,0.574,-61.8,13631
164.73,0.573,-61.8,13635
164.57,0.572,-61.9,13640
164.4,0.572,-62,13645
164.23,0.572,-62,13651
164.06,0.571,-62.1,13658
163.87,0.571,-62.2,13667
163.69,0.572,-62.3,13675
163.5,0.572,-62.4,13682
163.31,0.572,-62.5,13689
163.13,0.572,-62.5,13696
162.95,0.572,-62.6,13702
162.78,0.572,-62.6,13709
162.61,0.572,-62.7,13716
162.44,0.572,-62.7,13722
162.28,0.572,-62.7,13727
162.12,0.572,-62.8,13733
161.95,0.572,-62.8,13739
161.78,0.572,-62.9,13745
161.6,0.571,-63,13749
161.41,0.569,-63,13758
161.21,0.571,-63.1,13767
161,0.572,-63.1,13776
160.78,0.574,-63.2,13782
160.55,0.574,-63.3,13793
160.32,0.574,-63.4,13802
160.09,0.573,-63.5,13811
159.86,0.573,-63.6,13820
159.64,0.572,-63.7,13830
159.42,0.572,-63.7,13838
159.22,0.571,-63.8,13846
159.02,0.569,-63.8,13852
158.84,0.569,-63.9,13860
158.66,0.569,-64,13867
158.5,0.568,-64,13874
158.34,0.568,-64.1,13880
158.2,0.568,-64.1,13885
158.06,0.568,-64.2,13889
157.93,0.568,-64.2,13895
157.8,0.568,-64.3,13900
157.68,0.569,-64.3,13905
157.55,0.569,-64.4,13908
157.42,0.568,-64.4,13911
157.28,0.569,-64.4,13917
157.12,0.569,-64.4,13923
156.95,0.57,-64.4,13929
156.77,0.57,-64.5,13937
156.58,0.57,-64.5,13945
156.38,0.57,-64.6,13953
156.18,0.57,-64.6,13963
155.98,0.568,-64.7,13972
155.79,0.567,-64.8,13980
155.61,0.566,-64.9,13987
155.45,0.564,-65,13994
155.3,0.563,-65,14001
155.17,0.561,-65.1,14004
155.05,0.558,-65.1,14005
154.93,0.555,-65.1,14010
154.82,0.554,-65.2,14014
154.7,0.554,-65.2,14019
154.57,0.554,-65.2,14024
154.44,0.553,-65.3,14029
154.31,0.553,-65.4,14034
154.16,0.553,-65.4,14041
154.01,0.553,-65.5,14047
153.85,0.553,-65.5,14052
153.69,0.553,-65.5,14057
153.52,0.553,-65.6,14065
153.34,0.555,-65.7,14073
153.15,0.557,-65.7,14081
152.97,0.557,-65.8,14089
152.78,0.557,-65.9,14097
152.6,0.557,-66,14104
152.43,0.557,-66,14112
152.26,0.557,-66.1,14119
152.1,0.557,-66.2,14123
151.95,0.555,-66.2,14128
151.79,0.551,-66.3,14134
151.64,0.549,-66.3,14141
151.48,0.549,-66.4,14147
151.32,0.55,-66.4,14153
151.15,0.55,-66.5,14160
150.98,0.55,-66.5,14168
150.82,0.55,-66.6,14175
150.65,0.55,-66.7,14181
150.49,0.549,-66.7,14188
150.33,0.547,-66.8,14194
150.17,0.547,-66.8,14200
150.01,0.547,-66.8,14207
149.84,0.547,-66.8,14214
149.68,0.547,-66.9,14220
149.52,0.546,-66.9,14224
149.36,0.543,-67,14232
149.19,0.543,-67.1,14242
149.03,0.542,-67.1,14248
148.86,0.542,-67.2,14253
148.69,0.541,-67.2,14259
148.51,0.539,-67.3,14264
148.32,0.537,-67.3,14273
148.13,0.535,-67.4,14281
147.93,0.535,-67.4,14290
147.73,0.534,-67.5,14299
147.53,0.534,-67.6,14308
147.33,0.534,-67.7,14318
147.15,0.534,-67.8,14327
146.97,0.533,-67.8,14329
146.8,0.535,-67.9,14339
146.63,0.535,-67.9,14344
146.48,0.532,-68,14351
146.32,0.531,-68,14357
146.17,0.528,-68.1,14362
146.01,0.526,-68.2,14368
145.84,0.526,-68.2,14374
145.67,0.525,-68.2,14383
145.49,0.525,-68.2,14389
145.3,0.524,-68.3,14397
145.11,0.522,-68.3,14405
144.92,0.52,-68.4,14415
144.72,0.518,-68.5,14424
144.53,0.517,-68.6,14433
144.35,0.515,-68.7,14438
144.17,0.515,-68.8,14446
144,0.513,-68.8,14455
143.83,0.513,-68.9,14461
143.67,0.513,-69,14467
143.52,0.513,-69,14473
143.36,0.513,-69.1,14479
143.21,0.513,-69.1,14486
143.06,0.513,-69.2,14488
142.9,0.513,-69.2,14497
142.74,0.514,-69.3,14506
142.59,0.514,-69.4,14513
142.44,0.514,-69.4,14520
142.29,0.514,-69.5,14524
142.14,0.514,-69.5,14530
142,0.514,-69.6,14536
141.86,0.514,-69.6,14539
141.71,0.514,-69.6,14548
141.57,0.513,-69.7,14555
141.43,0.513,-69.7,14562
141.28,0.513,-69.8,14566
141.14,0.509,-69.9,14572
141,0.502,-70,14576
140.87,0.498,-70.1,14585
140.74,0.498,-70.1,14591
140.61,0.498,-70.1,14597
140.49,0.498,-70.1,14601
140.38,0.498,-70.1,14604
140.26,0.501,-70.1,14608
140.15,0.502,-70.2,14613
140.04,0.501,-70.3,14619
139.93,0.501,-70.4,14624
139.82,0.5,-70.5,14630
139.71,0.499,-70.5,14633
139.61,0.501,-70.5,14637
139.51,0.503,-70.5,14641
139.41,0.504,-70.6,14646
139.32,0.504,-70.6,14650
139.23,0.504,-70.7,14654
139.14,0.505,-70.7,14658
139.05,0.505,-70.8,14662
138.97,0.505,-70.8,14664
138.88,0.506,-70.8,14666
138.79,0.505,-70.9,14671
138.69,0.504,-70.9,14674
138.59,0.504,-71,14681
138.49,0.504,-71,14685
138.39,0.503,-71.1,14689
138.29,0.503,-71.1,14693
138.19,0.503,-71.1,14698
138.09,0.502,-71.2,14701
137.99,0.501,-71.2,14705
137.89,0.499,-71.3,14711
137.78,0.495,-71.3,14715
137.68,0.494,-71.3,14720
137.58,0.492,-71.4,14724
137.48,0.491,-71.4,14729
137.37,0.491,-71.4,14731
137.27,0.494,-71.5,14734
137.16,0.492,-71.5,14741
137.04,0.49,-71.5,14746
136.93,0.49,-71.5,14752
136.81,0.489,-71.6,14757
136.69,0.489,-71.6,14762
136.57,0.489,-71.7,14767
136.44,0.489,-71.7,14771
136.32,0.489,-71.8,14776
136.19,0.489,-71.8,14783
136.06,0.489,-71.9,14789
135.93,0.49,-71.9,14795
135.79,0.49,-72,14801
135.66,0.49,-72,14807
135.53,0.49,-72.1,14812
135.39,0.49,-72.1,14818
135.26,0.49,-72.1,14823
135.13,0.49,-72.2,14830
135,0.49,-72.2,14836
134.87,0.49,-72.3,14842
134.74,0.49,-72.3,14848
134.61,0.49,-72.4,14852
134.48,0.49,-72.5,14857
134.35,0.49,-72.5,14861
134.21,0.49,-72.6,14868
134.07,0.49,-72.6,14874
133.91,0.489,-72.6,14881
133.75,0.489,-72.7,14889
133.59,0.488,-72.7,14896
133.41,0.488,-72.8,14903
133.24,0.487,-72.8,14913
133.07,0.487,-72.9,14922
132.91,0.485,-72.9,14928
132.76,0.481,-72.9,14936
132.62,0.476,-73,14943
132.49,0.474,-73.1,14949
132.38,0.471,-73.2,14951
132.27,0.47,-73.2,14955
132.17,0.47,-73.3,14961
132.08,0.47,-73.3,14964
131.99,0.47,-73.3,14965
131.9,0.472,-73.3,14971
131.8,0.474,-73.3,14976
131.71,0.476,-73.4,14980
131.61,0.477,-73.4,14984
131.51,0.478,-73.5,14988
131.41,0.478,-73.5,14992
131.31,0.478,-73.6,14996
131.21,0.478,-73.6,15003
131.11,0.478,-73.7,15009
131.02,0.478,-73.7,15012
130.92,0.478,-73.8,15014
130.83,0.479,-73.8,15018
130.73,0.478,-73.8,15023
130.64,0.477,-73.8,15027
130.54,0.476,-73.9,15030
130.43,0.475,-73.9,15036
130.32,0.474,-74,15041
130.21,0.474,-74,15047
130.09,0.475,-74.1,15053
129.97,0.475,-74.1,15057
129.85,0.475,-74.2,15062
129.73,0.475,-74.2,15066
129.6,0.474,-74.2,15073
129.46,0.474,-74.3,15080
129.33,0.474,-74.3,15088
129.2,0.473,-74.3,15092
129.08,0.473,-74.4,15100
128.95,0.472,-74.4,15105
128.84,0.469,-74.5,15110
128.73,0.469,-74.5,15114
128.63,0.469,-74.6,15118
128.53,0.469,-74.6,15123
128.43,0.469,-74.6,15126
128.33,0.469,-74.7,15130
128.23,0.47,-74.7,15137
128.13,0.47,-74.7,15142
128.04,0.47,-74.8,15145
127.94,0.471,-74.8,15149
127.84,0.471,-74.9,15154
127.75,0.471,-74.9,15158
127.66,0.471,-75,15162
127.56,0.471,-75,15166
127.47,0.471,-75,15169
127.38,0.471,-75.1,15175
127.29,0.47,-75.1,15180
127.19,0.469,-75.2,15184
127.1,0.469,-75.2,15188
127,0.468,-75.2,15191
126.9,0.468,-75.2,15193
126.8,0.467,-75.3,15198
126.69,0.467,-75.3,15204
126.57,0.466,-75.3,15211
126.46,0.465,-75.4,15217
126.35,0.465,-75.4,15224
126.24,0.465,-75.4,15231
126.13,0.465,-75.4,15232
126.03,0.465,-75.4,15235
125.94,0.465,-75.4,15239
125.84,0.466,-75.5,15244
125.73,0.468,-75.5,15249
125.63,0.468,-75.5,15254
125.52,0.469,-75.6,15258
125.41,0.469,-75.6,15265
125.3,0.469,-75.7,15271
125.19,0.468,-75.7,15276
125.09,0.468,-75.8,15281
125,0.469,-75.8,15284
124.9,0.469,-75.8,15289
124.82,0.468,-75.9,15292
124.73,0.467,-75.9,15296
124.64,0.467,-75.9,15300
124.55,0.467,-75.9,15304
124.46,0.467,-75.9,15308
124.36,0.466,-76,15311
124.26,0.465,-76,15316
124.15,0.464,-76,15322
124.04,0.464,-76.1,15329
123.94,0.462,-76.2,15337
123.84,0.46,-76.2,15340
123.75,0.459,-76.2,15343
123.66,0.459,-76.2,15345
123.57,0.458,-76.3,15349
123.49,0.458,-76.3,15353
123.4,0.458,-76.4,15357
123.31,0.458,-76.5,15362
123.21,0.457,-76.5,15366
123.11,0.457,-76.6,15370
123.01,0.457,-76.6,15376
122.91,0.455,-76.6,15381
122.81,0.455,-76.6,15387
122.71,0.455,-76.6,15390
122.61,0.455,-76.6,15393
122.51,0.454,-76.6,15399
122.4,0.454,-76.7,15405
122.29,0.454,-76.7,15408
122.18,0.452,-76.7,15413
122.06,0.45,-76.8,15420
121.94,0.45,-76.8,15427
121.82,0.45,-76.9,15432
121.7,0.445,-76.9,15439
121.58,0.442,-77,15444
121.47,0.441,-77.1,15450
121.36,0.439,-77.1,15454
121.26,0.437,-77.1,15459
121.15,0.435,-77,15464
121.05,0.434,-77,15468
120.95,0.434,-77.1,15473
120.85,0.435,-77.1,15475
120.75,0.437,-77.1,15483
120.65,0.436,-77.1,15488
120.54,0.434,-77.1,15494
120.44,0.432,-77.2,15498
120.33,0.43,-77.2,15500
120.22,0.431,-77.2,15507
120.11,0.434,-77.2,15513
120,0.432,-77.2,15519
119.89,0.429,-77.3,15525
119.78,0.429,-77.3,15529
119.68,0.429,-77.3,15534
119.58,0.428,-77.3,15540
119.47,0.428,-77.3,15543
119.37,0.428,-77.3,15547
119.27,0.427,-77.3,15555
119.16,0.427,-77.4,15559
119.05,0.427,-77.4,15563
118.94,0.427,-77.4,15567
118.83,0.427,-77.5,15574
118.72,0.427,-77.5,15581
118.61,0.427,-77.6,15588
118.5,0.428,-77.6,15591
118.39,0.429,-77.7,15594
118.28,0.43,-77.7,15601
118.17,0.43,-77.8,15607
118.06,0.43,-77.8,15612
117.95,0.43,-77.8,15618
117.84,0.43,-77.9,15625
117.73,0.43,-77.9,15629
117.62,0.432,-77.9,15632
117.51,0.436,-78,15636
117.41,0.436,-78,15643
117.29,0.436,-78.1,15649
117.18,0.435,-78.1,15654
117.08,0.433,-78.2,15662
116.97,0.431,-78.2,15667
116.86,0.435,-78.2,15670
116.76,0.436,-78.2,15674
116.65,0.435,-78.2,15679
116.54,0.431,-78.3,15684
116.44,0.431,-78.4,15691
116.33,0.431,-78.4,15697
116.22,0.431,-78.5,15704
116.11,0.431,-78.6,15707
116.01,0.434,-78.6,15710
115.9,0.436,-78.7,15716
115.8,0.439,-78.7,15723
115.69,0.439,-78.8,15729
115.59,0.439,-78.8,15733
115.48,0.44,-78.9,15737
115.37,0.44,-78.9,15743
115.27,0.441,-79,15748
115.16,0.441,-79,15753
115.05,0.441,-79,15759
114.94,0.44,-79.1,15764
114.83,0.442,-79.1,15770
114.73,0.443,-79.2,15776
114.63,0.444,-79.2,15782
114.53,0.445,-79.3,15788
114.43,0.446,-79.3,15788
114.33,0.446,-79.3,15793
114.24,0.446,-79.3,15799
114.14,0.447,-79.3,15805
114.04,0.447,-79.3,15809
113.93,0.447,-79.4,15814
113.83,0.447,-79.5,15820
113.72,0.447,-79.5,15825
113.61,0.447,-79.6,15830
113.5,0.447,-79.6,15835
113.39,0.445,-79.7,15843
113.28,0.444,-79.7,15849
113.17,0.444,-79.7,15854
113.07,0.444,-79.8,15859
112.97,0.444,-79.8,15864
112.88,0.444,-79.9,15865
112.78,0.444,-79.9,15870
112.67,0.444,-80,15877
112.57,0.444,-80,15883
112.46,0.444,-80,15888
112.36,0.445,-80,15894
112.25,0.446,-80.1,15900
112.15,0.446,-80.1,15906
112.04,0.447,-80.1,15908
111.94,0.447,-80.2,15913
111.84,0.448,-80.2,15918
111.74,0.448,-80.2,15925
111.64,0.448,-80.3,15931
111.54,0.448,-80.3,15936
111.44,0.447,-80.4,15940
111.34,0.445,-80.4,15946
111.24,0.445,-80.5,15949
111.14,0.443,-80.5,15954
111.03,0.441,-80.5,15959
110.93,0.44,-80.6,15965
110.82,0.44,-80.6,15971
110.71,0.44,-80.6,15977
110.6,0.44,-80.7,15981
110.48,0.44,-80.7,15986
110.36,0.44,-80.8,15993
110.24,0.439,-80.8,16001
110.11,0.439,-80.8,16006
109.98,0.438,-80.9,16013
109.85,0.438,-81,16021
109.72,0.438,-81,16029
109.59,0.437,-81.1,16034
109.47,0.436,-81.1,16041
109.34,0.435,-81.1,16049
109.22,0.434,-81.2,16052
109.11,0.433,-81.2,16058
108.99,0.433,-81.3,16065
108.88,0.433,-81.3,16071
108.77,0.433,-81.4,16078
108.66,0.432,-81.4,16082
