Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37643, 23.18603, 87.41383030478067
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 11:59:57
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:48 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
  176.89 12 02 53.89  891.00   23.72   19.44   76.99    1.66   -0.22    1.68  280.01    4.00     1137  120.381398   23.183120  1153.05 
  178.76 12 02 55.75  890.00   23.59   19.38   77.28    2.59   -3.88    4.94  244.64    5.04     1146  120.381413   23.183077  1163.31 
  180.78 12 02 57.77  889.00   23.49   19.34   77.56    0.96   -3.97    4.11  342.41    4.75     1155  120.381430   23.183037  1171.80 
  182.72 12 02 59.71  888.00   23.38   19.32   77.94   -1.37    0.90    2.18  187.38    5.14     1165  120.381430   23.183024  1181.30 
  184.82 12 03 01.82  887.00   23.28   19.30   78.38   -0.62   -3.37    4.05   17.03    4.40     1174  120.381410   23.183005  1191.10 
  187.14 12 03 04.13  886.00   23.17   19.30   78.84   -2.13   -2.65    3.45   36.94    3.94     1183  120.381409   23.182959  1201.92 
  189.44 12 03 06.43  885.00   23.07   19.35   79.59    1.33   -3.77    4.00  340.48    4.38     1193  120.381424   23.182897  1210.82 
  191.52 12 03 08.51  884.00   22.96   19.32   79.96   -0.62   -4.85    5.39  198.39    4.51     1202  120.381415   23.182839  1219.89 
  194.02 12 03 11.01  883.00   22.86   19.33   80.50   -2.39   -1.02    2.68   73.87    2.47     1212  120.381430   23.182800  1231.00 
  195.97 12 03 12.96  882.00   22.75   19.30   80.89    1.36   -4.49    4.69  343.11    5.63     1221  120.381449   23.182741  1240.81 
  198.59 12 03 15.58  881.00   22.65   17.93   74.78    1.69   -2.93    4.04  326.94    5.31     1230  120.381476   23.182708  1250.19 
  201.52 12 03 18.52  880.00   22.58   15.63   64.86   -0.08   -2.96    3.14  168.34    2.77     1240  120.381460   23.182680  1260.51 
