id,name
1336,草嶺村
1337,長潭里
1338,砂子里
1339,八斗里
1340,碧砂里
1341,新富里
1342,平寮里
1343,社寮里
1344,和憲里
1345,海濱里
1346,正濱里
1347,中濱里
1348,砂灣里
1349,真砂里
1350,正砂里
1351,中砂里
1352,入船里
1353,正船里
1354,中船里
1355,港通里
1356,義重里
1357,正義里
1358,德義里
1359,義昭里
1360,義幸里
1361,義和里
1362,智慧里
1363,智誠里
1364,禮儀里
1365,禮東里
1366,信綠里
1367,東信里
1368,孝賢里
1369,孝忠里
1370,孝德里
1371,孝深里
1372,孝岡里
1373,林泉里
1374,花崗里
1375,虹橋里
1376,水錦里
1377,智仁里
1378,和明里
1379,忠勇里
1380,博愛里
1381,福仁里
1382,誠仁里
1383,吉仁里
1384,育仁里
1385,英仁里
1386,龍門里
1387,德厚里
1388,曲水里
1389,文安里
1390,兆連里
1391,獅球里
1392,書院里
1393,朝棟里
1394,同風里
1395,新店里
1396,新建里
1397,安民里
1398,安平里
1399,民治里
1400,仁正里
1401,健民里
1402,通化里
1403,居仁里
1404,通明里
1405,仙洞里
1406,太白里
1407,協和里
1408,德安里
1409,和慶里
1410,西康里
1411,西定里
1412,西華里
1413,西榮里
1414,新西里
1415,西川里
1416,定國里
1417,定邦里
1418,慈仁里
1419,干城里
1420,樂一里
1421,嘉仁里
1422,壯觀里
1423,五福里
1424,七賢里
1425,長樂里
1426,鶯歌里
1427,鶯安里
1428,興寮里
1429,外寮里
1430,武崙里
1431,中崙里
1432,內寮里
1433,八西里
1434,八中里
1435,八堵里
1436,八南里
1437,過港里
1438,暖暖里
1439,暖同里
1440,暖東里
1441,暖西里
1442,碇內里
1443,碇和里
1444,碇祥里
1445,碇安里
1446,正光里
1447,正明里
1448,富民里
1449,泰安里
1450,六堵里
1451,堵南里
1452,堵北里
1453,百福里
1454,實踐里
1455,瑪南里
1456,瑪東里
1457,瑪西里
1458,友一里
1459,友二里
1460,德茂里
1461,富基里
1462,老梅里
1463,山溪里
1464,石門里
1465,尖鹿里
1466,乾華里
1467,茂林里
1468,草里里
1469,八賢里
1470,埔頭里
1471,古庄里
1472,埔坪里
1473,茂長里
1474,橫山里
1475,錫板里
1476,後厝里
1477,圓山里
1478,店子里
1479,興華里
1480,屯山里
1481,賢孝里
1482,興仁里
1483,蕃薯里
1484,忠山里
1485,義山里
